JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497534_49|COMPLETED|0:0|00:00:27||2
50497534_49.batch|COMPLETED|0:0|00:00:27|2092K|2
50497534_49.extern|COMPLETED|0:0|00:00:27||2
50497534_50|COMPLETED|0:0|00:03:01||2
50497534_50.batch|COMPLETED|0:0|00:03:01|522776K|2
50497534_50.extern|COMPLETED|0:0|00:03:01||2
50497534_51|COMPLETED|0:0|00:02:47||2
50497534_51.batch|COMPLETED|0:0|00:02:47|524808K|2
50497534_51.extern|COMPLETED|0:0|00:02:47||2
50497534_52|COMPLETED|0:0|00:02:42||2
50497534_52.batch|COMPLETED|0:0|00:02:42|523244K|2
50497534_52.extern|COMPLETED|0:0|00:02:42||2
50497534_53|COMPLETED|0:0|00:13:13||2
50497534_53.batch|COMPLETED|0:0|00:13:13|522920K|2
50497534_53.extern|COMPLETED|0:0|00:13:13||2
50497534_54|COMPLETED|0:0|00:14:51||2
50497534_54.batch|COMPLETED|0:0|00:14:51|524968K|2
50497534_54.extern|COMPLETED|0:0|00:14:52||2
50497534_55|COMPLETED|0:0|00:01:01||2
50497534_55.batch|COMPLETED|0:0|00:01:01|525184K|2
50497534_55.extern|COMPLETED|0:0|00:01:01||2
50497534_56|COMPLETED|0:0|00:01:11||2
50497534_56.batch|COMPLETED|0:0|00:01:11|525448K|2
50497534_56.extern|COMPLETED|0:0|00:01:11||2
50497534_57|COMPLETED|0:0|00:01:00||2
50497534_57.batch|COMPLETED|0:0|00:01:00|521516K|2
50497534_57.extern|COMPLETED|0:0|00:01:00||2
50497534_58|COMPLETED|0:0|00:01:09||2
50497534_58.batch|COMPLETED|0:0|00:01:09|523240K|2
50497534_58.extern|COMPLETED|0:0|00:01:09||2
50497534_59|COMPLETED|0:0|00:01:11||2
50497534_59.batch|COMPLETED|0:0|00:01:11|522808K|2
50497534_59.extern|COMPLETED|0:0|00:01:11||2
50497534_60|COMPLETED|0:0|00:00:27||2
50497534_60.batch|COMPLETED|0:0|00:00:27|2092K|2
50497534_60.extern|COMPLETED|0:0|00:00:27||2
50497534_61|COMPLETED|0:0|00:00:47||2
